timestamp,device_id,pressure_bar,pressure_status,flow_rate_lpm,total_volume_l,tds_ppm,tds_status,ph,ph_status,temperature_c,wifi_status,signal_strength_dbm,sensor_status,alert
2025-02-01 00:00:00,ESP32_WA_02,2.67,Normal,1.29,0.13,369,Moderate,6.55,Acidic,29.14,Connected,-67,OK,None
2025-02-01 00:10:00,ESP32_WA_02,2.64,Normal,1.21,0.25,531,Moderate,6.23,Acidic,31.27,Connected,-69,OK,pH Out of Range
2025-02-01 00:20:00,ESP32_WA_02,3.22,Normal,4.3,0.68,524,Moderate,7.48,Neutral,29.85,Disconnected,-72,Fault,Sensor Fault
2025-02-01 00:30:00,ESP32_WA_02,2.07,Normal,1.53,0.83,622,Poor,6.88,Neutral,23.41,Connected,-80,OK,None
2025-02-01 00:40:00,ESP32_WA_02,3.07,Normal,4.23,1.26,473,Moderate,6.37,Acidic,19.33,Connected,-74,OK,pH Out of Range
2025-02-01 00:50:00,ESP32_WA_02,1.84,Normal,4.81,1.74,569,Moderate,7.32,Neutral,31.33,Connected,-84,OK,None
2025-02-01 01:00:00,ESP32_WA_02,2.6,Normal,4.53,2.19,422,Moderate,7.55,Neutral,31.75,Connected,-81,OK,None
2025-02-01 01:10:00,ESP32_WA_02,2.58,Normal,1.64,2.35,99,Good,6.96,Neutral,22.19,Connected,-67,OK,None
2025-02-01 01:20:00,ESP32_WA_02,3.26,Normal,1.12,2.47,695,Poor,7.21,Neutral,26.93,Connected,-56,OK,None
2025-02-01 01:30:00,ESP32_WA_02,2.69,Normal,4.77,2.94,424,Moderate,7.17,Neutral,26.0,Connected,-93,OK,None
2025-02-01 01:40:00,ESP32_WA_02,2.39,Normal,2.59,3.2,377,Moderate,6.46,Acidic,25.13,Connected,-79,OK,None
2025-02-01 01:50:00,ESP32_WA_02,3.39,Normal,8.43,4.04,418,Moderate,7.03,Neutral,25.26,Connected,-91,OK,None
2025-02-01 02:00:00,ESP32_WA_02,3.51,Normal,4.46,4.49,171,Good,7.37,Neutral,24.66,Connected,-66,OK,None
2025-02-01 02:10:00,ESP32_WA_02,2.36,Normal,2.2,4.71,124,Good,7.45,Neutral,21.54,Connected,-66,OK,None
2025-02-01 02:20:00,ESP32_WA_02,3.05,Normal,11.19,5.83,408,Moderate,7.43,Neutral,27.7,Connected,-51,OK,None
2025-02-01 02:30:00,ESP32_WA_02,2.48,Normal,7.23,6.55,272,Good,7.03,Neutral,25.15,Connected,-91,OK,None
2025-02-01 02:40:00,ESP32_WA_02,2.78,Normal,1.61,6.71,231,Good,6.92,Neutral,30.88,Connected,-87,OK,None
2025-02-01 02:50:00,ESP32_WA_02,2.83,Normal,10.15,7.73,723,Poor,7.1,Neutral,28.86,Connected,-45,OK,None
2025-02-01 03:00:00,ESP32_WA_02,2.06,Normal,0.9,7.82,323,Moderate,6.88,Neutral,19.0,Connected,-56,OK,None
2025-02-01 03:10:00,ESP32_WA_02,2.73,Normal,4.87,8.31,331,Moderate,7.11,Neutral,25.87,Connected,-57,OK,None
2025-02-01 03:20:00,ESP32_WA_02,2.17,Normal,1.64,8.47,674,Poor,6.53,Acidic,25.3,Connected,-56,OK,None
2025-02-01 03:30:00,ESP32_WA_02,2.21,Normal,1.52,8.62,409,Moderate,6.24,Acidic,30.11,Connected,-65,OK,pH Out of Range
2025-02-01 03:40:00,ESP32_WA_02,2.47,Normal,3.16,8.94,855,Poor,7.14,Neutral,29.06,Connected,-74,OK,High TDS
2025-02-01 03:50:00,ESP32_WA_02,1.71,Normal,3.96,9.33,437,Moderate,7.42,Neutral,25.85,Connected,-65,OK,None
2025-02-01 04:00:00,ESP32_WA_02,1.96,Normal,1.91,9.52,408,Moderate,7.47,Neutral,23.58,Connected,-62,OK,None
2025-02-01 04:10:00,ESP32_WA_02,2.82,Normal,7.57,10.28,339,Moderate,6.67,Acidic,23.69,Connected,-86,OK,None
2025-02-01 04:20:00,ESP32_WA_02,3.02,Normal,4.51,10.73,425,Moderate,7.24,Neutral,22.83,Connected,-70,OK,None
2025-02-01 04:30:00,ESP32_WA_02,3.13,Normal,6.1,11.34,633,Poor,7.14,Neutral,24.28,Connected,-78,OK,None
2025-02-01 04:40:00,ESP32_WA_02,2.47,Normal,1.55,11.5,408,Moderate,7.37,Neutral,30.33,Connected,-45,OK,None
2025-02-01 04:50:00,ESP32_WA_02,3.05,Normal,6.04,12.1,410,Moderate,7.31,Neutral,28.07,Connected,-74,OK,None
