timestamp,device_id,pressure_bar,pressure_status,flow_rate_L_min,total_volume_L,tds_ppm,tds_status,ph,ph_status,temperature_C,wifi_status,signal_strength_dBm,sensor_status,alert
2025-01-01 00:00:00,ESP32_WATER_01,3.2,Normal,5.7,1.42,337,Moderate,7.2,Neutral,26.52,Connected,-52,OK,None
2025-01-01 00:15:00,ESP32_WATER_01,2.94,Normal,1.03,1.68,183,Good,7.44,Neutral,28.11,Connected,-68,OK,None
2025-01-01 00:30:00,ESP32_WATER_01,3.26,Normal,2.42,2.29,194,Good,7.53,Neutral,28.39,Connected,-50,OK,None
2025-01-01 00:45:00,ESP32_WATER_01,3.61,Normal,0.24,2.34,276,Good,6.47,Acidic,23.28,Connected,-50,OK,pH Out of Range
2025-01-01 01:00:00,ESP32_WATER_01,2.91,Normal,2.41,2.95,368,Moderate,7.15,Neutral,27.02,Connected,-81,OK,None
2025-01-01 01:15:00,ESP32_WATER_01,2.91,Normal,0.71,3.13,358,Moderate,7.11,Neutral,22.13,Disconnected,-58,Fault,None
2025-01-01 01:30:00,ESP32_WATER_01,3.63,Normal,3.0,3.88,400,Moderate,7.19,Neutral,23.83,Connected,-81,OK,None
2025-01-01 01:45:00,ESP32_WATER_01,3.31,Normal,1.79,4.32,263,Good,6.91,Neutral,26.78,Connected,-82,OK,None
2025-01-01 02:00:00,ESP32_WATER_01,2.81,Normal,1.5,4.7,937,Poor,7.27,Neutral,23.03,Connected,-83,OK,High TDS
2025-01-01 02:15:00,ESP32_WATER_01,3.22,Normal,5.79,6.15,442,Moderate,7.34,Neutral,23.94,Disconnected,-53,Fault,None
2025-01-01 02:30:00,ESP32_WATER_01,2.81,Normal,8.12,8.18,394,Moderate,6.8,Neutral,20.02,Connected,-83,OK,None
2025-01-01 02:45:00,ESP32_WATER_01,2.81,Normal,0.52,8.31,216,Good,7.22,Neutral,26.35,Connected,-78,OK,None
2025-01-01 03:00:00,ESP32_WATER_01,3.1,Normal,1.54,8.69,408,Moderate,7.1,Neutral,22.35,Connected,-63,OK,None
2025-01-01 03:15:00,ESP32_WATER_01,2.23,Normal,3.65,9.6,346,Moderate,7.68,Neutral,22.54,Connected,-80,OK,None
2025-01-01 03:30:00,ESP32_WATER_01,2.31,Normal,2.66,10.27,356,Moderate,7.43,Neutral,29.07,Connected,-59,OK,None
2025-01-01 03:45:00,ESP32_WATER_01,2.78,Normal,3.51,11.15,519,Moderate,6.89,Neutral,22.94,Connected,-64,OK,None
2025-01-01 04:00:00,ESP32_WATER_01,2.59,Normal,1.9,11.62,339,Moderate,7.59,Neutral,27.26,Connected,-52,OK,None
2025-01-01 04:15:00,ESP32_WATER_01,3.13,Normal,4.48,12.74,370,Moderate,7.18,Neutral,28.3,Connected,-85,OK,None
2025-01-01 04:30:00,ESP32_WATER_01,2.64,Normal,2.34,13.33,327,Moderate,7.23,Neutral,27.75,Connected,-50,OK,None
2025-01-01 04:45:00,ESP32_WATER_01,2.44,Normal,2.77,14.02,300,Moderate,6.83,Neutral,24.25,Connected,-59,OK,None
2025-01-01 05:00:00,ESP32_WATER_01,3.59,Normal,0.72,14.2,349,Moderate,7.28,Neutral,23.72,Disconnected,-77,Fault,None
2025-01-01 05:15:00,ESP32_WATER_01,2.91,Normal,2.16,14.74,285,Good,7.58,Neutral,22.26,Connected,-61,OK,None
2025-01-01 05:30:00,ESP32_WATER_01,3.03,Normal,3.68,15.66,331,Moderate,7.1,Neutral,19.72,Connected,-72,OK,None
2025-01-01 05:45:00,ESP32_WATER_01,2.43,Normal,2.55,16.29,295,Good,7.83,Neutral,27.32,Connected,-68,OK,None
2025-01-01 06:00:00,ESP32_WATER_01,2.78,Normal,2.24,16.85,153,Good,7.56,Neutral,27.03,Connected,-68,OK,None
2025-01-01 06:15:00,ESP32_WATER_01,3.04,Normal,2.9,17.58,280,Good,6.87,Neutral,26.43,Connected,-59,OK,None
2025-01-01 06:30:00,ESP32_WATER_01,2.54,Normal,2.33,18.16,396,Moderate,7.3,Neutral,16.49,Connected,-77,OK,None
2025-01-01 06:45:00,ESP32_WATER_01,3.15,Normal,1.95,18.65,361,Moderate,6.65,Neutral,24.47,Connected,-74,OK,None
2025-01-01 07:00:00,ESP32_WATER_01,2.76,Normal,3.76,19.59,301,Moderate,6.81,Neutral,26.89,Connected,-68,OK,None
2025-01-01 07:15:00,ESP32_WATER_01,2.88,Normal,1.84,20.05,327,Moderate,6.5,Neutral,28.86,Connected,-72,OK,None
2025-01-01 07:30:00,ESP32_WATER_01,2.76,Normal,0.67,20.22,255,Good,6.56,Neutral,25.9,Disconnected,-76,Fault,None
2025-01-01 07:45:00,ESP32_WATER_01,3.74,Normal,5.62,21.62,264,Good,7.08,Neutral,25.58,Connected,-66,OK,None
2025-01-01 08:00:00,ESP32_WATER_01,2.99,Normal,1.22,21.93,320,Moderate,7.12,Neutral,22.96,Connected,-64,OK,None
2025-01-01 08:15:00,ESP32_WATER_01,2.58,Normal,0.49,22.05,302,Moderate,7.29,Neutral,26.14,Connected,-52,OK,None
2025-01-01 08:30:00,ESP32_WATER_01,3.33,Normal,3.16,22.84,259,Good,6.84,Neutral,24.29,Connected,-48,OK,None
2025-01-01 08:45:00,ESP32_WATER_01,2.51,Normal,6.1,24.37,314,Moderate,7.53,Neutral,22.81,Connected,-81,OK,None
2025-01-01 09:00:00,ESP32_WATER_01,3.08,Normal,3.21,25.17,230,Good,7.11,Neutral,21.53,Connected,-56,OK,None
