timestamp,device_id,pressure_bar,pressure_status,flow_rate_lpm,total_volume_l,tds_ppm,tds_status,ph,ph_status,temperature_c,wifi_status,signal_strength_dbm,sensor_status,alert
2025-01-01 00:00:00,ESP32_WA_01,3.68,Normal,3.77,0.31,452,Moderate,7.12,Neutral,24.34,Connected,-72,OK,None
2025-01-01 00:05:00,ESP32_WA_01,2.81,Normal,2.62,0.53,405,Moderate,7.82,Alkaline,22.98,Connected,-58,OK,None
2025-01-01 00:10:00,ESP32_WA_01,3.01,Normal,5.52,0.99,306,Moderate,6.6,Acidic,26.19,Connected,-62,OK,None
2025-01-01 00:15:00,ESP32_WA_01,3.16,Normal,2.67,1.22,80,Good,7.5,Neutral,24.54,Connected,-68,OK,None
2025-01-01 00:20:00,ESP32_WA_01,2.68,Normal,1.0,1.3,507,Moderate,7.07,Neutral,27.41,Connected,-68,OK,None
2025-01-01 00:25:00,ESP32_WA_01,3.0,Normal,0.76,1.36,359,Moderate,6.98,Neutral,25.14,Connected,-48,OK,None
2025-01-01 00:30:00,ESP32_WA_01,3.0,Normal,1.77,1.51,447,Moderate,7.29,Neutral,26.53,Connected,-70,OK,None
2025-01-01 00:35:00,ESP32_WA_01,2.3,Normal,1.06,1.6,367,Moderate,6.97,Neutral,25.34,Connected,-61,OK,None
2025-01-01 00:40:00,ESP32_WA_01,3.41,Normal,1.47,1.72,344,Moderate,8.03,Alkaline,19.68,Connected,-73,OK,pH Out of Range
2025-01-01 00:45:00,ESP32_WA_01,3.24,Normal,1.83,1.87,740,Poor,6.68,Acidic,24.06,Disconnected,-49,Fault,Sensor Fault
2025-01-01 00:50:00,ESP32_WA_01,2.75,Normal,1.61,2.01,289,Good,7.22,Neutral,18.0,Connected,-79,OK,None
2025-01-01 00:55:00,ESP32_WA_01,2.93,Normal,3.7,2.32,321,Moderate,6.72,Acidic,23.67,Connected,-78,OK,None
2025-01-01 01:00:00,ESP32_WA_01,3.2,Normal,1.41,2.43,303,Moderate,6.89,Neutral,28.85,Connected,-61,OK,None
2025-01-01 01:05:00,ESP32_WA_01,2.9,Normal,1.1,2.52,320,Moderate,6.76,Acidic,22.6,Disconnected,-66,Fault,Sensor Fault
2025-01-01 01:10:00,ESP32_WA_01,2.9,Normal,0.64,2.58,324,Moderate,7.86,Alkaline,22.17,Connected,-65,OK,None
2025-01-01 01:15:00,ESP32_WA_01,2.42,Normal,6.35,3.11,301,Moderate,7.53,Neutral,20.2,Connected,-67,OK,None
2025-01-01 01:20:00,ESP32_WA_01,3.22,Normal,2.45,3.31,210,Good,8.03,Alkaline,24.63,Connected,-50,OK,pH Out of Range
2025-01-01 01:25:00,ESP32_WA_01,3.05,Normal,3.52,3.6,400,Moderate,8.04,Alkaline,27.19,Connected,-72,OK,pH Out of Range
2025-01-01 01:30:00,ESP32_WA_01,3.11,Normal,3.75,3.92,281,Good,7.8,Alkaline,28.47,Connected,-80,OK,None
2025-01-01 01:35:00,ESP32_WA_01,2.39,Normal,0.82,3.99,209,Good,7.52,Neutral,25.18,Disconnected,-76,Fault,Sensor Fault
2025-01-01 01:40:00,ESP32_WA_01,3.66,Normal,2.78,4.22,314,Moderate,7.96,Alkaline,25.32,Connected,-68,OK,None
2025-01-01 01:45:00,ESP32_WA_01,3.06,Normal,2.7,4.44,524,Moderate,6.68,Acidic,21.05,Connected,-51,OK,None
2025-01-01 01:50:00,ESP32_WA_01,2.85,Normal,0.84,4.51,441,Moderate,7.02,Neutral,24.42,Connected,-76,OK,None
